InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales,Month,DayOfWeek,Hour
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2011-06-01 12:05:00,0.85,17315,United Kingdom,20.4,June,Wednesday,12
554974,21128,GOLD FISHING GNOME,4,2011-05-27 17:14:00,6.95,14031,United Kingdom,27.8,May,Friday,17
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,2011-04-21 17:05:00,0.65,14031,United Kingdom,2.6,April,Thursday,17
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,2011-11-16 10:39:00,1.95,17198,United Kingdom,5.85,November,Wednesday,10
546157,22180,RETROSPOT LAMP,2,2011-03-10 08:40:00,9.95,13502,United Kingdom,19.9,March,Thursday,8
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-11-14 12:14:00,2.95,15572,United Kingdom,5.9,November,Monday,12
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,2011-11-17 15:08:00,0.39,14362,United Kingdom,4.68,November,Thursday,15
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-09-29 13:38:00,1.25,16818,United Kingdom,15.0,September,Thursday,13
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,2011-11-22 16:02:00,6.75,17759,United Kingdom,6.75,November,Tuesday,16
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,2011-07-19 10:51:00,1.65,12415,Australia,3.3,July,Tuesday,10
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-03-07 10:52:00,7.9,15039,United Kingdom,7.9,March,Monday,10
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-30 15:35:00,0.79,13949,United Kingdom,14.22,October,Sunday,15
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,2011-05-05 12:13:00,8.5,14515,United Kingdom,8.5,May,Thursday,12
563745,22115,METAL SIGN EMPIRE TEA,12,2011-08-19 09:38:00,0.79,15159,United Kingdom,9.48,August,Friday,9
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,2011-03-10 12:50:00,2.55,16625,United Kingdom,15.299999999999999,March,Thursday,12
548005,21499,BLUE POLKADOT WRAP,25,2011-03-29 10:49:00,0.42,14128,United Kingdom,10.5,March,Tuesday,10
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2010-12-15 12:27:00,9.95,13092,United Kingdom,39.8,December,Wednesday,12
577820,23169,CLASSIC GLASS COOKIE JAR,18,2011-11-22 09:24:00,3.75,13408,United Kingdom,67.5,November,Tuesday,9
555091,21936,RED RETROSPOT PICNIC BAG,1,2011-05-31 12:50:00,2.95,12748,United Kingdom,2.95,May,Tuesday,12
556106,22669,RED BABY BUNTING ,2,2011-06-08 16:54:00,2.95,14056,United Kingdom,5.9,June,Wednesday,16
537159,22667,RECIPE BOX RETROSPOT ,1,2010-12-05 13:17:00,2.95,14527,United Kingdom,2.95,December,Sunday,13
536532,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:24:00,7.95,12433,Norway,15.9,December,Wednesday,13
572681,23232,WRAP VINTAGE LEAF DESIGN,25,2011-10-25 13:51:00,0.42,13510,United Kingdom,10.5,October,Tuesday,13
548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,2011-03-30 12:02:00,0.85,16657,United Kingdom,0.85,March,Wednesday,12
559133,21987,PACK OF 6 SKULL PAPER CUPS,2,2011-07-06 13:13:00,0.65,17861,United Kingdom,1.3,July,Wednesday,13
566922,23420,PANTRY HOOK TEA STRAINER ,12,2011-09-15 14:58:00,2.08,16156,United Kingdom,24.96,September,Thursday,14
